"codgeo","libgeo","libgeo2","year0","value0","year1","value1"
"01","Guadeloupe","Guadeloupe","2011",14.2,"2016",17.1
"02","Martinique","Martinique","2011",15.8,"2016",19
"03","Guyane","Guyane","2011",4.3,"2016",4.9
"04","La Réunion","La Réunion","2011",8.8,"2016",10.6
"11","Île-de-France","Île-de-France","2011",13,"2016",14.4
"24","Centre-Val de Loire","Centre-Val de Loire","2011",19.1,"2016",21.4
"27","Bourgogne-Franche-Comté","Bourg.-Fra.-Comté","2011",19.3,"2016",21.8
"28","Normandie","Normandie","2011",17.7,"2016",20
"32","Hauts-de-France","Hauts-de-France","2011",15,"2016",17
"44","Grand Est","Grand Est","2011",16.9,"2016",19
"52","Pays de la Loire","Pays de la Loire","2011",17.5,"2016",19.5
"53","Bretagne","Bretagne","2011",18.9,"2016",21.1
"75","Nouvelle-Aquitaine","Nouvelle-Aquitaine","2011",20.6,"2016",22.7
"76","Occitanie","Occitanie","2011",19.7,"2016",21.7
"84","Auvergne-Rhône-Alpes","Auv.-Rhône-Alpes","2011",17.2,"2016",19
"93","Provence-Alpes-Côte d'Azur","Paca","2011",20.1,"2016",22.1
"94","Corse","Corse","2011",20.5,"2016",22.5
